date,MVRV Z-Score (positive control)
2022-09-05 00:00:00+00:00,-0.1236
2022-09-12 00:00:00+00:00,0.0576
2022-09-19 00:00:00+00:00,-0.1271
2022-09-26 00:00:00+00:00,-0.1482
2022-10-03 00:00:00+00:00,-0.1138
2022-10-10 00:00:00+00:00,-0.144
2022-10-17 00:00:00+00:00,-0.1113
2022-10-24 00:00:00+00:00,-0.1243
2022-10-31 00:00:00+00:00,-0.0442
2022-11-07 00:00:00+00:00,-0.0353
2022-11-14 00:00:00+00:00,-0.2886
2022-11-21 00:00:00+00:00,-0.3163
2022-11-28 00:00:00+00:00,-0.2801
2022-12-05 00:00:00+00:00,-0.2189
2022-12-12 00:00:00+00:00,-0.199
2022-12-19 00:00:00+00:00,-0.2474
2022-12-26 00:00:00+00:00,-0.2119
2023-01-02 00:00:00+00:00,-0.2176
2023-01-09 00:00:00+00:00,-0.1797
2023-01-16 00:00:00+00:00,0.1002
2023-01-23 00:00:00+00:00,0.2019
2023-01-30 00:00:00+00:00,0.2115
2023-02-06 00:00:00+00:00,0.2041
2023-02-13 00:00:00+00:00,0.1382
2023-02-20 00:00:00+00:00,0.3465
2023-02-27 00:00:00+00:00,0.245
2023-03-06 00:00:00+00:00,0.1825
2023-03-13 00:00:00+00:00,0.2898
2023-03-20 00:00:00+00:00,0.5604
2023-03-27 00:00:00+00:00,0.5049
2023-04-03 00:00:00+00:00,0.5711
2023-04-10 00:00:00+00:00,0.6819
2023-04-17 00:00:00+00:00,0.6741
2023-04-24 00:00:00+00:00,0.5661
2023-05-01 00:00:00+00:00,0.5746
2023-05-08 00:00:00+00:00,0.5361
2023-05-15 00:00:00+00:00,0.5
2023-05-22 00:00:00+00:00,0.4714
2023-05-29 00:00:00+00:00,0.5332
2023-06-05 00:00:00+00:00,0.3933
2023-06-12 00:00:00+00:00,0.4018
2023-06-19 00:00:00+00:00,0.4636
2023-06-26 00:00:00+00:00,0.7007
2023-07-03 00:00:00+00:00,0.7547
2023-07-10 00:00:00+00:00,0.7021
2023-07-17 00:00:00+00:00,0.6823
2023-07-24 00:00:00+00:00,0.6416
2023-07-31 00:00:00+00:00,0.6221
2023-08-07 00:00:00+00:00,0.6179
2023-08-14 00:00:00+00:00,0.6333
2023-08-21 00:00:00+00:00,0.4051
2023-08-28 00:00:00+00:00,0.4068
2023-09-04 00:00:00+00:00,0.3871
2023-09-11 00:00:00+00:00,0.3422
2023-09-18 00:00:00+00:00,0.4553
2023-09-25 00:00:00+00:00,0.4212
2023-10-02 00:00:00+00:00,0.5099
2023-10-09 00:00:00+00:00,0.5094
2023-10-16 00:00:00+00:00,0.5723
2023-10-23 00:00:00+00:00,0.8778
2023-10-30 00:00:00+00:00,0.9724
2023-11-06 00:00:00+00:00,0.9992
2023-11-13 00:00:00+00:00,1.0938
2023-11-20 00:00:00+00:00,1.1533
2023-11-27 00:00:00+00:00,1.1254
2023-12-04 00:00:00+00:00,1.4355
2023-12-11 00:00:00+00:00,1.367
2023-12-18 00:00:00+00:00,1.4499
2023-12-25 00:00:00+00:00,1.5031
2024-01-01 00:00:00+00:00,1.5158
2024-01-08 00:00:00+00:00,1.6882
2024-01-15 00:00:00+00:00,1.3715
2024-01-22 00:00:00+00:00,1.1555
2024-01-29 00:00:00+00:00,1.391
2024-02-05 00:00:00+00:00,1.3382
2024-02-12 00:00:00+00:00,1.8158
2024-02-19 00:00:00+00:00,1.9055
2024-02-26 00:00:00+00:00,2.064
2024-03-04 00:00:00+00:00,2.879
2024-03-11 00:00:00+00:00,3.0402
2024-03-18 00:00:00+00:00,2.6639
2024-03-25 00:00:00+00:00,2.7404
2024-04-01 00:00:00+00:00,2.6711
2024-04-08 00:00:00+00:00,2.7519
2024-04-15 00:00:00+00:00,2.1992
2024-04-22 00:00:00+00:00,2.3963
2024-04-29 00:00:00+00:00,2.1772
2024-05-06 00:00:00+00:00,2.1193
2024-05-13 00:00:00+00:00,2.0806
2024-05-20 00:00:00+00:00,2.5551
2024-05-27 00:00:00+00:00,2.4096
2024-06-03 00:00:00+00:00,2.3231
2024-06-10 00:00:00+00:00,2.3277
2024-06-17 00:00:00+00:00,2.1271
2024-06-24 00:00:00+00:00,1.7426
2024-07-01 00:00:00+00:00,1.8785
2024-07-08 00:00:00+00:00,1.5113
2024-07-15 00:00:00+00:00,1.9633
2024-07-22 00:00:00+00:00,2.0989
2024-07-29 00:00:00+00:00,2.0347
2024-08-05 00:00:00+00:00,1.3136
2024-08-12 00:00:00+00:00,1.59
2024-08-19 00:00:00+00:00,1.5851
2024-08-26 00:00:00+00:00,1.7727
2024-09-02 00:00:00+00:00,1.5516
2024-09-09 00:00:00+00:00,1.4344
2024-09-16 00:00:00+00:00,1.4856
2024-09-23 00:00:00+00:00,1.7511
2024-09-30 00:00:00+00:00,1.7294
2024-10-07 00:00:00+00:00,1.6742
2024-10-14 00:00:00+00:00,1.8443
2024-10-21 00:00:00+00:00,1.8872
2024-10-28 00:00:00+00:00,2.0003
2024-11-04 00:00:00+00:00,1.8634
2024-11-11 00:00:00+00:00,2.9345
2024-11-18 00:00:00+00:00,2.9408
2024-11-25 00:00:00+00:00,2.9676
2024-12-02 00:00:00+00:00,3.0247
2024-12-09 00:00:00+00:00,3.0066
2024-12-16 00:00:00+00:00,3.3543
2024-12-23 00:00:00+00:00,2.7127
2024-12-30 00:00:00+00:00,2.55
2025-01-06 00:00:00+00:00,2.9761
2025-01-13 00:00:00+00:00,2.5618
2025-01-20 00:00:00+00:00,2.9018
2025-01-27 00:00:00+00:00,2.8074
2025-02-03 00:00:00+00:00,2.7512
2025-02-10 00:00:00+00:00,2.516
2025-02-17 00:00:00+00:00,2.4151
2025-02-24 00:00:00+00:00,2.2108
2025-03-03 00:00:00+00:00,1.9457
2025-03-10 00:00:00+00:00,1.6022
2025-03-17 00:00:00+00:00,1.814
2025-03-24 00:00:00+00:00,1.9466
2025-03-31 00:00:00+00:00,1.718
2025-04-07 00:00:00+00:00,1.5705
2025-04-14 00:00:00+00:00,1.785
2025-04-21 00:00:00+00:00,1.8999
2025-04-28 00:00:00+00:00,2.1968
2025-05-05 00:00:00+00:00,2.1573
2025-05-12 00:00:00+00:00,2.4647
2025-05-19 00:00:00+00:00,2.536
2025-05-26 00:00:00+00:00,2.646
2025-06-02 00:00:00+00:00,2.4594
2025-06-09 00:00:00+00:00,2.6032
2025-06-16 00:00:00+00:00,2.4465
2025-06-23 00:00:00+00:00,2.35
2025-06-30 00:00:00+00:00,2.3777
2025-07-07 00:00:00+00:00,2.3735
2025-07-14 00:00:00+00:00,2.781
2025-07-21 00:00:00+00:00,2.6241
2025-07-28 00:00:00+00:00,2.6014
2025-08-04 00:00:00+00:00,2.4594
2025-08-11 00:00:00+00:00,2.5625
2025-08-18 00:00:00+00:00,2.4308
2025-08-25 00:00:00+00:00,2.1701
2025-09-01 00:00:00+00:00,2.1008
2025-09-08 00:00:00+00:00,2.1917
2025-09-15 00:00:00+00:00,2.2872
2025-09-22 00:00:00+00:00,2.1608
2025-09-29 00:00:00+00:00,2.1956
2025-10-06 00:00:00+00:00,2.5301
2025-10-13 00:00:00+00:00,2.1577
2025-10-20 00:00:00+00:00,1.9666
2025-10-27 00:00:00+00:00,2.0653
2025-11-03 00:00:00+00:00,1.962
2025-11-10 00:00:00+00:00,1.7319
2025-11-17 00:00:00+00:00,1.3629
2025-11-24 00:00:00+00:00,1.0922
2025-12-01 00:00:00+00:00,1.2099
2025-12-08 00:00:00+00:00,1.2149
2025-12-15 00:00:00+00:00,1.1256
2025-12-22 00:00:00+00:00,1.1366
2025-12-29 00:00:00+00:00,1.1155
2026-01-05 00:00:00+00:00,1.2346
2026-01-12 00:00:00+00:00,1.2134
2026-01-19 00:00:00+00:00,1.3268
2026-01-26 00:00:00+00:00,1.0594
2026-02-02 00:00:00+00:00,0.7506
2026-02-09 00:00:00+00:00,0.5342
2026-02-16 00:00:00+00:00,0.4824
2026-02-23 00:00:00+00:00,0.4567
2026-03-02 00:00:00+00:00,0.397
2026-03-09 00:00:00+00:00,0.4104
2026-03-16 00:00:00+00:00,0.6395
2026-03-23 00:00:00+00:00,0.4794
2026-03-30 00:00:00+00:00,0.4131
2026-04-06 00:00:00+00:00,0.5184
2026-04-13 00:00:00+00:00,0.5766
2026-04-20 00:00:00+00:00,0.6825
2026-04-27 00:00:00+00:00,0.8327
2026-05-04 00:00:00+00:00,0.8362
2026-05-11 00:00:00+00:00,0.9575
2026-05-18 00:00:00+00:00,0.8019
2026-05-25 00:00:00+00:00,0.7806
2026-06-01 00:00:00+00:00,0.6694
2026-06-08 00:00:00+00:00,0.3375
2026-06-15 00:00:00+00:00,0.4178
2026-06-22 00:00:00+00:00,0.344
2026-06-29 00:00:00+00:00,0.2284
2026-07-06 00:00:00+00:00,0.3657
2026-07-13 00:00:00+00:00,0.373
2026-07-20 00:00:00+00:00,0.4071
2026-07-27 00:00:00+00:00,0.4299
2026-08-03 00:00:00+00:00,0.3705
2026-08-10 00:00:00+00:00,0.4177
2026-08-17 00:00:00+00:00,0.3541
2026-08-24 00:00:00+00:00,0.8334
2026-08-31 00:00:00+00:00,0.8514
