date,MVRV Z-Score (positive control)
2012-01-02 00:00:00+00:00,0.01
2012-01-09 00:00:00+00:00,0.372
2012-01-16 00:00:00+00:00,0.326
2012-01-23 00:00:00+00:00,0.19
2012-01-30 00:00:00+00:00,0.05
2012-02-06 00:00:00+00:00,0.098
2012-02-13 00:00:00+00:00,0.086
2012-02-20 00:00:00+00:00,-0.208
2012-02-27 00:00:00+00:00,-0.063
2012-03-05 00:00:00+00:00,-0.071
2012-03-12 00:00:00+00:00,-0.058
2012-03-19 00:00:00+00:00,0.026
2012-03-26 00:00:00+00:00,-0.119
2012-04-02 00:00:00+00:00,-0.036
2012-04-09 00:00:00+00:00,-0.072
2012-04-16 00:00:00+00:00,-0.031
2012-04-23 00:00:00+00:00,0.043
2012-04-30 00:00:00+00:00,-0.026
2012-05-07 00:00:00+00:00,-0.001
2012-05-14 00:00:00+00:00,-0.024
2012-05-21 00:00:00+00:00,0.022
2012-05-28 00:00:00+00:00,0.027
2012-06-04 00:00:00+00:00,0.064
2012-06-11 00:00:00+00:00,0.143
2012-06-18 00:00:00+00:00,0.371
2012-06-25 00:00:00+00:00,0.378
2012-07-02 00:00:00+00:00,0.414
2012-07-09 00:00:00+00:00,0.457
2012-07-16 00:00:00+00:00,0.722
2012-07-23 00:00:00+00:00,1.006
2012-07-30 00:00:00+00:00,0.959
2012-08-06 00:00:00+00:00,1.509
2012-08-13 00:00:00+00:00,1.61
2012-08-20 00:00:00+00:00,1.423
2012-08-27 00:00:00+00:00,1.261
2012-09-03 00:00:00+00:00,1.036
2012-09-10 00:00:00+00:00,1.217
2012-09-17 00:00:00+00:00,1.398
2012-09-24 00:00:00+00:00,1.421
2012-10-01 00:00:00+00:00,1.429
2012-10-08 00:00:00+00:00,1.407
2012-10-15 00:00:00+00:00,1.251
2012-10-22 00:00:00+00:00,1.176
2012-10-29 00:00:00+00:00,0.896
2012-11-05 00:00:00+00:00,0.903
2012-11-12 00:00:00+00:00,0.959
2012-11-19 00:00:00+00:00,1.14
2012-11-26 00:00:00+00:00,1.301
2012-12-03 00:00:00+00:00,1.29
2012-12-10 00:00:00+00:00,1.438
2012-12-17 00:00:00+00:00,1.419
2012-12-24 00:00:00+00:00,1.357
2012-12-31 00:00:00+00:00,1.353
2013-01-07 00:00:00+00:00,1.324
2013-01-14 00:00:00+00:00,1.462
2013-01-21 00:00:00+00:00,1.809
2013-01-28 00:00:00+00:00,2.101
2013-02-04 00:00:00+00:00,2.447
2013-02-11 00:00:00+00:00,2.91
2013-02-18 00:00:00+00:00,3.175
2013-02-25 00:00:00+00:00,3.348
2013-03-04 00:00:00+00:00,3.703
2013-03-11 00:00:00+00:00,4.704
2013-03-18 00:00:00+00:00,4.297
2013-03-25 00:00:00+00:00,5.927
2013-04-01 00:00:00+00:00,6.263
2013-04-08 00:00:00+00:00,8.376
2013-04-15 00:00:00+00:00,2.995
2013-04-22 00:00:00+00:00,3.654
2013-04-29 00:00:00+00:00,3.718
2013-05-06 00:00:00+00:00,2.735
2013-05-13 00:00:00+00:00,2.558
2013-05-20 00:00:00+00:00,2.655
2013-05-27 00:00:00+00:00,2.872
2013-06-03 00:00:00+00:00,2.35
2013-06-10 00:00:00+00:00,1.558
2013-06-17 00:00:00+00:00,1.516
2013-06-24 00:00:00+00:00,1.721
2013-07-01 00:00:00+00:00,1.368
2013-07-08 00:00:00+00:00,0.727
2013-07-15 00:00:00+00:00,1.285
2013-07-22 00:00:00+00:00,1.159
2013-07-29 00:00:00+00:00,1.369
2013-08-05 00:00:00+00:00,1.512
2013-08-12 00:00:00+00:00,1.467
2013-08-19 00:00:00+00:00,1.277
2013-08-26 00:00:00+00:00,1.632
2013-09-02 00:00:00+00:00,2.038
2013-09-09 00:00:00+00:00,1.649
2013-09-16 00:00:00+00:00,1.781
2013-09-23 00:00:00+00:00,1.665
2013-09-30 00:00:00+00:00,1.729
2013-10-07 00:00:00+00:00,1.576
2013-10-14 00:00:00+00:00,1.786
2013-10-21 00:00:00+00:00,2.94
2013-10-28 00:00:00+00:00,2.874
2013-11-04 00:00:00+00:00,3.004
2013-11-11 00:00:00+00:00,4.897
2013-11-18 00:00:00+00:00,6.498
2013-11-25 00:00:00+00:00,8.475
2013-12-02 00:00:00+00:00,6.95
2013-12-09 00:00:00+00:00,4.318
2013-12-16 00:00:00+00:00,4.313
2013-12-23 00:00:00+00:00,2.446
2013-12-30 00:00:00+00:00,3.015
2014-01-06 00:00:00+00:00,3.874
2014-01-13 00:00:00+00:00,3.248
2014-01-20 00:00:00+00:00,3.048
2014-01-27 00:00:00+00:00,2.759
2014-02-03 00:00:00+00:00,2.647
2014-02-10 00:00:00+00:00,1.884
2014-02-17 00:00:00+00:00,1.541
2014-02-24 00:00:00+00:00,1.465
2014-03-03 00:00:00+00:00,1.228
2014-03-10 00:00:00+00:00,1.491
2014-03-17 00:00:00+00:00,1.442
2014-03-24 00:00:00+00:00,1.07
2014-03-31 00:00:00+00:00,0.606
2014-04-07 00:00:00+00:00,0.613
2014-04-14 00:00:00+00:00,0.44
2014-04-21 00:00:00+00:00,0.815
2014-04-28 00:00:00+00:00,0.525
2014-05-05 00:00:00+00:00,0.518
2014-05-12 00:00:00+00:00,0.524
2014-05-19 00:00:00+00:00,0.568
2014-05-26 00:00:00+00:00,1.114
2014-06-02 00:00:00+00:00,1.346
2014-06-09 00:00:00+00:00,1.43
2014-06-16 00:00:00+00:00,1.106
2014-06-23 00:00:00+00:00,1.12
2014-06-30 00:00:00+00:00,1.11
2014-07-07 00:00:00+00:00,1.233
2014-07-14 00:00:00+00:00,1.202
2014-07-21 00:00:00+00:00,1.173
2014-07-28 00:00:00+00:00,1.02
2014-08-04 00:00:00+00:00,0.969
2014-08-11 00:00:00+00:00,0.981
2014-08-18 00:00:00+00:00,0.594
2014-08-25 00:00:00+00:00,0.637
2014-09-01 00:00:00+00:00,0.52
2014-09-08 00:00:00+00:00,0.511
2014-09-15 00:00:00+00:00,0.506
2014-09-22 00:00:00+00:00,0.21
2014-09-29 00:00:00+00:00,0.111
2014-10-06 00:00:00+00:00,-0.08
2014-10-13 00:00:00+00:00,0.167
2014-10-20 00:00:00+00:00,0.208
2014-10-27 00:00:00+00:00,0.07
2014-11-03 00:00:00+00:00,-0.052
2014-11-10 00:00:00+00:00,0.129
2014-11-17 00:00:00+00:00,0.228
2014-11-24 00:00:00+00:00,0.136
2014-12-01 00:00:00+00:00,0.192
2014-12-08 00:00:00+00:00,0.211
2014-12-15 00:00:00+00:00,0.139
2014-12-22 00:00:00+00:00,-0.014
2014-12-29 00:00:00+00:00,-0.015
2015-01-05 00:00:00+00:00,-0.234
2015-01-12 00:00:00+00:00,-0.196
2015-01-19 00:00:00+00:00,-0.428
2015-01-26 00:00:00+00:00,-0.226
2015-02-02 00:00:00+00:00,-0.342
2015-02-09 00:00:00+00:00,-0.35
2015-02-16 00:00:00+00:00,-0.301
2015-02-23 00:00:00+00:00,-0.29
2015-03-02 00:00:00+00:00,-0.193
2015-03-09 00:00:00+00:00,-0.105
2015-03-16 00:00:00+00:00,-0.056
2015-03-23 00:00:00+00:00,-0.138
2015-03-30 00:00:00+00:00,-0.248
2015-04-06 00:00:00+00:00,-0.161
2015-04-13 00:00:00+00:00,-0.264
2015-04-20 00:00:00+00:00,-0.319
2015-04-27 00:00:00+00:00,-0.331
2015-05-04 00:00:00+00:00,-0.239
2015-05-11 00:00:00+00:00,-0.238
2015-05-18 00:00:00+00:00,-0.251
2015-05-25 00:00:00+00:00,-0.232
2015-06-01 00:00:00+00:00,-0.277
2015-06-08 00:00:00+00:00,-0.301
2015-06-15 00:00:00+00:00,-0.253
2015-06-22 00:00:00+00:00,-0.2
2015-06-29 00:00:00+00:00,-0.176
2015-07-06 00:00:00+00:00,-0.067
2015-07-13 00:00:00+00:00,0.118
2015-07-20 00:00:00+00:00,-0.048
2015-07-27 00:00:00+00:00,0.034
2015-08-03 00:00:00+00:00,-0.017
2015-08-10 00:00:00+00:00,-0.092
2015-08-17 00:00:00+00:00,-0.132
